POZO,XCOORD,YCOORD,Prof,Fecha,runlife,ciclo,Dpiston,Lon_Superficie,SPM,RGP,AYS,Elasticity,SP,Fillage,BBPD,BNPD
BN-0087,171,92,7195,1/2/19,192,3,1.125,74,7,846.8808712,17.96829819,0.780892383,57.78603634,0.417428138,59.69315612,10.72584429
BN-0066,137,176,7174,1/2/19,33,7,1.5,45,7,390.9713741,59.60010468,0.887353565,39.93091043,0.961686691,73.33112045,43.70542455
BN-0040,160,129,7148,1/2/19,39,5,2,100,4,1193.829386,27.88755987,0.797403126,79.7403126,0.279732764,148.7635272,41.48651771
BN-0015,141,72,7321,1/2/19,362,3,1.5,74,5,540.8366097,42.51809401,0.803366146,59.44909479,0.615148649,77.98235009,33.15660892
BN-0055,122,62,7163,1/2/19,177,6,1.125,100,5,392.8054546,52.23197203,0.909118685,90.91186853,0.923204044,67.08017449,35.03729798
BN-0092,180,211,7200,1/2/19,103,4,2,100,4,846.0382807,18.29952125,0.738331679,73.83316794,0.346164412,137.7431581,25.2063385
BN-0074,71,245,7182,1/2/19,90,1,1.125,45,7,328.4813451,49.79426372,0.94876954,42.69462931,0.941256887,44.1036855,21.96110547
BN-0069,58,136,7177,1/2/19,179,0,2.5,45,5,466.7070909,57.66219986,0.860357831,38.71610241,0.633479737,141.0717981,81.3451022
BN-0001,102,108,7012,1/2/19,189,6,2.5,100,7,496.7355584,53.28079848,0.876303564,87.63035642,0.604622468,447.0243557,238.1781461
BN-0004,60,285,7079,1/2/19,60,4,1.125,54,3,332.3368192,47.97619022,0.949209835,51.25733107,0.963056785,22.69242136,10.88695924
BN-0014,224,279,7212,1/2/19,364,3,1.5,74,7,860.5911238,22.40569786,0.74232029,54.93170145,0.415186158,100.8793231,22.60271634
BN-0022,102,139,7325,1/2/19,10,5,1.125,120,3,619.8445085,40.67042785,0.83009989,99.61198675,0.647323974,44.09978297,17.93557042
BN-0019,127,266,7122,1/2/19,105,0,1.125,45,4,349.7639825,41.45814887,0.926269932,41.68214693,0.90164206,24.6044503,10.20054964
BN-0098,152,97,7206,1/3/19,306,2,2.5,100,7,1001.584525,21.49205821,0.73295534,73.29553403,0.363349748,373.898843,80.35855698
BN-0064,160,187,7172,1/3/19,182,0,2.5,54,7,1177.5991,17.06863143,0.738066964,39.85561607,0.301026224,203.3134615,34.70282538
BN-0065,266,54,7173,1/3/19,271,4,1.125,100,3,1022.315669,12.16588593,0.687121263,68.71212629,0.201477423,30.41993194,3.700854218
BN-0002,225,245,7072,1/3/19,127,2,1.5,100,4,1302.471623,14.62422101,0.732994137,73.29941374,0.218840423,76.92040477,11.24900999
BN-0089,109,103,7197,1/3/19,207,3,2.5,100,5,307.7298441,52.54921993,0.920600367,92.06003671,0.908920395,335.4437588,176.2730786
BN-0043,101,85,7151,1/3/19,119,5,1.125,74,3,568.2173847,51.08867616,0.81952543,60.64488183,0.639827224,26.84843676,13.71651091
BN-0079,173,217,7187,1/3/19,317,1,2.5,45,4,953.8285912,19.40602842,0.759146389,34.16158752,0.365333672,99.58102761,19.32472251
BN-0059,211,75,7167,1/3/19,25,0,1.125,54,5,1033.232174,26.52482008,0.765414553,41.33238585,0.342721783,30.49748839,8.089403923
BN-0070,168,280,7178,1/3/19,38,3,2,74,7,1226.598124,15.9779694,0.766033581,56.68648496,0.351075222,185.0700361,29.57043374
BN-0041,91,91,7149,1/3/19,18,5,2.5,120,4,318.0950448,56.1889307,0.855862203,102.7034643,0.959063284,299.3805984,168.218757
BN-0052,202,93,7160,1/3/19,168,2,2.5,100,4,895.1833257,19.98895465,0.739618792,73.96187922,0.357502195,215.5988779,43.09596193
BN-0027,205,293,7221,1/3/19,162,0,1.5,100,5,1234.730401,18.6572514,0.763018642,76.30186421,0.404084588,100.0889704,18.67385083
BN-0021,268,253,7225,1/3/19,57,6,1.5,74,7,847.8673217,19.79338282,0.775104888,57.35776169,0.430999977,105.3346615,20.84929279
BN-0034,179,120,7142,1/4/19,46,3,2,54,4,1102.765192,13.57440268,0.679627317,36.69987514,0.209983716,68.46728707,9.294025252
BN-0030,156,91,7138,1/4/19,335,2,2,120,5,1119.198005,14.4132295,0.732035461,87.84425537,0.169033362,204.8528035,29.52590471
BN-0008,275,214,7040,1/4/19,331,5,2,120,5,969.1721891,5.592019881,0.735666358,88.279963,0.186282089,205.8688737,11.51222835
BN-0084,298,121,7192,1/4/19,321,3,2.5,120,4,638.7351981,11.14568217,0.76473666,91.76839925,0.303875365,267.5048838,29.81524413
BN-0082,218,199,7190,1/4/19,52,5,1.125,74,4,1210.163984,19.18274312,0.779765983,57.70268271,0.250680518,34.06117232,6.53386719
BN-0088,103,220,7196,1/4/19,285,4,1.5,100,3,653.4108607,47.22845045,0.825278682,82.52786822,0.661378078,64.95355868,30.67655928
BN-0005,258,57,7415,1/4/19,233,3,1.125,54,3,1419.912311,20.39553448,0.76014232,41.04768525,0.333367827,18.17245163,3.706368638
BN-0006,65,233,7281,1/4/19,325,2,2,74,3,903.6400151,42.34416757,0.781912278,57.86150859,0.462225721,80.95982282,34.28176304
BN-0024,292,51,7221,1/4/19,250,7,2,45,7,1092.232302,16.98069888,0.759667831,34.18505242,0.341067329,111.6073591,18.95170958
BN-0068,110,259,7176,1/4/19,225,5,1.125,120,7,451.8095061,44.46820091,0.845919741,101.5103689,0.66941181,104.8605283,46.62959042
BN-0063,203,293,7171,1/4/19,252,4,2,54,4,910.4953901,7.65197557,0.742096135,40.07319129,0.202387545,74.76054567,5.720658691
BN-0036,233,60,7144,1/4/19,230,6,1.5,100,5,878.6173745,14.38828764,0.739838821,73.98388214,0.159278047,97.0483574,13.96359681
BN-0038,246,147,7146,1/4/19,17,2,2,100,7,1068.665642,29.14206622,0.765325942,76.53259416,0.407713349,249.8636134,72.81541969
BN-0096,72,233,7204,1/5/19,350,0,2,54,4,1141.17774,40.13272298,0.784306039,42.35252611,0.374859842,79.01287271,31.71001732
BN-0058,143,188,7166,1/5/19,4,1,2,100,4,474.9879197,44.221869,0.818543841,81.8543841,0.660388029,152.707539,67.53012784
BN-0032,201,66,7140,1/5/19,201,6,1.5,74,5,1081.165028,21.83175103,0.759219002,56.18220613,0.421474018,73.69700889,16.0893475
BN-0077,300,171,7185,1/5/19,336,3,1.5,120,4,1172.903614,26.93983923,0.769667442,92.36009306,0.353671679,96.92268166,26.11081461
